course,link,nutrition
main,https://cookieandkate.com/2018/parmesan-roasted-broccoli-recipe/
salad,https://cookieandkate.com/2018/favorite-broccoli-salad-recipe/
main,https://cookieandkate.com/2017/quinoa-broccoli-slaw-recipe/
main,https://cookieandkate.com/2017/broccoli-cheddar-spinach-frittata/
starter,https://cookieandkate.com/2016/broccoli-chickpea-pita-sandwiches/
salad,https://cookieandkate.com/2015/spinach-pasta-recipe/
salad,https://cookieandkate.com/2015/berry-spinach-salad-recipe/
main,https://cookieandkate.com/2018/quick-pickled-onions-recipe/
main,https://cookieandkate.com/2015/lentil-couscous-stuffed-peppers-recipe/
main,https://cookieandkate.com/2011/stuffed-tomatoes-with-quinoa/
main,https://cookieandkate.com/2016/sun-dried-tomato-spinach-quinoa-salad-recipe/
main,https://cookieandkate.com/2017/baked-spinach-artichoke-dip-recipe/
main,https://www.thespruceeats.com/vegetarian-mushroom-gravy-recipe-3377701
main,https://food.ndtv.com/recipe-broccoli-bake-258789
main,https://www.onceuponachef.com/recipes/roasted-broccoli-chipotle-honey-butter.html
soup,https://www.elizabethrider.com/easy-vegan-french-onion-soup-recipe/
Appetizer,https://cookieandkate.com/2015/kung-pao-brussels-sprouts-recipe/
Main,https://www.thissavoryvegan.com/creamy-vegan-garlic-pasta-with-crispy-brussels-sprouts/
Main,https://holycowvegan.net/easy-brussels-sprouts-stew/
Soup,https://cookieandkate.com/2018/creamy-roasted-cauliflower-soup-recipe/
Salad,https://cookieandkate.com/2018/french-carrot-salad-recipe/
Dessert,https://www.thespruceeats.com/peach-sorbet-recipe-1375788
Dessert,https://www.allrecipes.com/recipe/143487/peach-and-strawberry-sorbet/
Dessert,https://theveglife.com/vegan-cantaloupe-ice-cream/
Appetizer,https://www.cearaskitchen.com/vegan-avocado-fries/
Appetizer,https://sweetsimplevegan.com/2017/09/avocado-french-toast/
Dessert,https://www.whattheforkfoodblog.com/2016/01/04/avocado-truffles/
Salad,https://natashaskitchen.com/cucumber-tomato-avocado-salad/
Salad,https://cookeatpaleo.com/heirloom-tomato-avocado-salad/
Appetizer,https://itdoesnttastelikechicken.com/cucumber-avocado-rolls/
Salad,http://www.strawmarysmith.com/mango-avocado-salad/
Dessert,https://www.veganricha.com/2014/10/fudgy-coconut-ladoo-vegan.html
Main,https://vegecravings.com/thai-pineapple-fried-rice-recipe/
Dessert,https://www.allrecipes.com/recipe/7347/fresh-pineapple-upside-down-cake/?internalSource=streams&referringId=17531&referringContentType=Recipe%20Hub&clickId=st_trending_b
Dessert,https://www.allrecipes.com/recipe/232348/pineapple-stuffed-french-toast/
Main,https://www.rotinrice.com/pineapple-curry/
Dessert,http://wallflowerkitchen.com/easy-vegan-french-apple-tart/
